Edge ID,Number of Lanes,Average Speed,Average Length
-1004369132#0,1,11.18,8.96
-1004369132#1,1,11.18,23.0
-1004369132#2,1,11.18,34.47
-1004369132#3,1,11.18,5.97
-1007811374#0,1,11.18,5.96
-1007811374#1,1,11.18,22.43
-1007837779#0,1,8.94,7.18
-1007837779#1,1,8.94,62.9
-1007837779#2,1,8.94,7.22
-1007837780#0,1,8.94,7.52
-1007837780#1,1,8.94,60.37
-1007837780#2,1,8.94,7.68
-1007837781#0,1,8.94,6.76
-1007837781#1,1,8.94,65.79
-1007837781#2,1,8.94,8.13
-1007846636,1,22.22,9.76
-1010159653#0,2,11.18,30.3
-1010159653#1,2,11.18,9.92
-1013655882#0,1,22.22,6.64
-1013655882#1,1,22.22,65.86
-1013655882#10,1,22.22,8.07
-1013655882#11,1,22.22,78.21
-1013655882#12,1,22.22,84.65
-1013655882#13,1,22.22,79.12
-1013655882#14,1,22.22,79.13
-1013655882#15,1,22.22,79.49
-1013655882#16,1,22.22,79.07
-1013655882#17,1,22.22,78.2
-1013655882#18,1,22.22,8.81
-1013655882#2,1,22.22,7.4
-1013655882#3,1,22.22,8.45
-1013655882#4,1,22.22,64.4
-1013655882#5,1,22.22,6.48
-1013655882#6,1,22.22,8.29
-1013655882#7,1,22.22,71.81
-1013655882#8,1,22.22,71.92
-1013655882#9,1,22.22,6.29
-1013655883#0,1,22.22,92.04
-1013655883#1,1,22.22,7.06
-1014336157,1,27.78,29.59
-1015379881,1,11.18,15.23
-1015679930#0,1,11.18,26.49
-1015679930#1,1,11.18,14.57
-1015679931,1,11.18,14.35
-1016425694,1,11.18,20.75
-1020162350#0,1,11.18,50.91
-1020162350#1,1,11.18,12.09
-1024634984#0,3,27.78,10.35
-1024634984#1,3,27.78,54.26
-1027227117#0,1,11.18,11.8
-1027227117#1,1,11.18,19.52
-1029634742#0,1,11.18,20.95
-1029634742#1,1,11.18,0.58
-1029634742#2,1,11.18,6.94
-1029634742#3,1,11.18,7.2
-1029634742#4,1,11.18,29.2
-1029634743#0,1,11.18,36.18
-1029634743#1,1,11.18,7.45
-1029634744#0,1,11.18,8.27
-1029634744#1,1,11.18,64.57
-1029634744#2,1,11.18,7.26
-1030243868#0,1,11.18,7.5
-1030243868#1,1,11.18,64.87
-1030243868#2,1,11.18,6.56
-1030243869#0,2,22.22,8.06
-1030243869#1,2,22.22,35.75
-1030243870#0,1,22.22,29.61
-1030243870#1,1,22.22,6.91
-1030243871#0,1,22.22,7.23
-1030243871#1,1,22.22,64.77
-1030243871#2,1,22.22,8.28
-1030243872#0,2,11.18,6.87
-1030243872#1,2,11.18,33.75
-1030243873#0,1,11.18,31.94
-1030243873#1,1,11.18,6.78
-1030243874#0,1,11.18,32.36
-1030243874#1,1,11.18,6.28
-1030243875#0,1,11.18,33.88
-1030243875#1,1,11.18,6.82
-1030243877,1,22.22,6.97
-1031982728,2,27.78,15.59
-1033101550#0,1,13.89,28.84
-1033101550#1,1,13.89,10.56
-1038772919#0,1,11.18,8.84
-1038772919#1,1,11.18,3.87
-1038772919#2,1,11.18,4.05
-1038772919#3,1,11.18,9.09
-103917119#0,1,11.18,8.75
-103917119#1,1,11.18,71.97
-103917119#2,1,11.18,8.92
-103917119#3,1,11.18,6.9
-103917119#4,1,11.18,68.42
-103917119#5,1,11.18,9.24
-1040863520#0,3,11.18,7.88
-1040863520#1,3,11.18,59.88
-1040863520#2,3,11.18,6.41
-1040863520#3,3,11.18,7.79
-1040863520#4,3,11.18,60.01
-1040863520#5,3,11.18,7.400000000000001
-104144064,2,27.78,12.02
-104315946#0,1,13.89,56.43
-104315946#1,1,13.89,8.21
-104315947#0,1,13.89,23.91
-104315947#1,1,13.89,7.78
-1043350176,1,13.89,22.43
-1043350179#0,1,13.89,8.85
-1043350179#1,1,13.89,68.67
-1043350179#2,1,13.89,7.93
-1043350179#3,1,13.89,9.51
-1043350179#4,1,13.89,68.47
-1043350179#5,1,13.89,9.07
-1047067668,1,13.89,8.34
-1051550982#0,1,8.94,6.58
-1051550982#1,1,8.94,70.75
-1051550982#2,1,8.94,10.2
-1067449180#0,1,11.18,8.75
-1067449180#1,1,11.18,44.43
-1067449185#0,1,11.18,2.7
-1067449185#1,1,11.18,8.35
-1068067608#0,1,11.18,13.34
-1068067608#1,1,11.18,3.53
-1068067609,1,11.18,9.79
-1080319437#0,1,8.94,7.05
-1080319437#1,1,8.94,62.83
-1080319437#2,1,8.94,7.13
-1080319438#0,1,8.94,7.33
-1080319438#1,1,8.94,32.77
-1080319439#0,1,8.94,5.72
-1080319439#1,1,8.94,62.33
-1080319439#2,1,8.94,7.51
-1080324899#0,1,11.18,58.96
-1080324899#1,1,11.18,11.36
-1080324900,2,11.18,98.09
-1080324903,2,11.18,5.9
-1080419242#0,2,11.18,8.7
-1080419242#1,2,11.18,168.92
-1080419243#0,2,11.18,71.4
-1080419243#1,2,11.18,9.79
-1080419243#2,2,11.18,15.41
-1080424222#0,2,11.18,59.71
-1080424222#1,2,11.18,16.5
-1080796656#0,1,11.18,6.86
-1080796656#1,1,11.18,15.85
-1080796657,1,22.22,7.65
-1080862159#0,2,11.18,8.92
-1080862159#1,2,11.18,47.42
-1080862160,2,11.18,35.9
-1080862161#0,3,11.18,13.020000000000001
-1080862161#1,3,11.18,34.67
-1080862162#0,1,11.18,33.05
-1080862162#1,1,11.18,10.83
-1080862163,2,11.18,42.25
-1080862164,1,11.18,13.7
-1080862165,2,11.18,17.11
-1080862166#0,3,11.18,11.31
-1080862166#1,3,11.18,35.71
-1080862167,1,11.18,45.24
-1080862168#0,2,11.18,10.59
-1080862168#1,2,11.18,50.71
-1080862169#0,1,11.18,45.17
-1080862169#1,1,11.18,10.57
-1080862170,1,11.18,34.25
